Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
2.87152E+11,London Times Floral Lace Coquette Fit & Flare Little Black Dress 12 013,,1021,1,FIXED_PRICE,USD,25.6,,,25.6,0,,,Feb-19-26 14:03:00 PST,Apr-19-26 14:03:00 PDT,Dresses,63861,,,Pre-owned - Good,,,,,,US,,,
2.87152E+11,Banana Republic Men's Full Zip Hoodie Gray Knit Sweater Size XL,,1014,1,FIXED_PRICE,USD,17.99,,,17.99,0,,,Feb-19-26 14:19:32 PST,Apr-19-26 14:19:32 PDT,Sweaters,11484,,,Pre-owned - Good,,,,,,US,,,
